Title,Card Path,Match Status,Citation Count,Citation Source,Checked Date,Source Identifier,Match Rule
RoboTwin: Dual-Arm Robot Benchmark with Generative Digital Twins,02_Papers/10_Benchmark_Dataset/RoboTwin.md,unmatched,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
Robot Policy Learning with Temporal Optimal Transport Reward,02_Papers/06_Diffusion_Flow_IL_RL/Robot_Policy_Learning_with_Temporal_Optimal_Transport_Reward.md,matched,1,OpenAlex,2026-09-23,https://openalex.org/W4415795570,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
RobotSmith: Generative Robotic Tool Design for Acquisition of Complex Manipulation Skills,02_Papers/02_Robot_Manipulation/RobotSmith.md,matched,0,OpenAlex,2026-09-23,https://openalex.org/W4415312722,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
SP-VLA: A Joint Model Scheduling and Token Pruning Approach for VLA Model Acceleration,02_Papers/01_VLA/SP-VLA.md,matched,0,OpenAlex,2026-09-23,https://openalex.org/W4417536563,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
"SPIN: Simultaneous Perception, Interaction and Navigation",02_Papers/02_Robot_Manipulation/SPIN.md,matched,13,OpenAlex,2026-09-23,https://openalex.org/W4402772268,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
"SPIRE: Synergistic Planning, Imitation, and Reinforcement Learning for Long-Horizon Manipulation",02_Papers/07_Generalization_LongHorizon/SPIRE.md,matched,1,OpenAlex,2026-09-23,https://openalex.org/W4404308601,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
SafeBimanual: Diffusion-based trajectory optimization for safe bimanual manipulation,02_Papers/03_Bimanual/SafeBimanual.md,unmatched,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
Scaffolding Dexterous Manipulation with Vision-Language Models,02_Papers/04_Dexterous/Scaffolding_Dexterous_Manipulation_with_Vision-Language_Models.md,matched,0,OpenAlex,2026-09-23,https://openalex.org/W4414683599,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
Self-Correcting Robot Manipulation via Gaussian-Splatted Foresight,02_Papers/07_Generalization_LongHorizon/Self-Correcting_Robot_Manipulation_via_Gaussian-Splatted_Foresight.md,unmatched,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
Sim-to-Real Reinforcement Learning for Vision-Based Dexterous Manipulation on Humanoids,02_Papers/05_Sim2Real/Sim-to-Real_Reinforcement_Learning_for_Vision-Based_Dexterous_Manipulation_on_Humanoids.md,unmatched,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
Sim2Real-VLA: Zero-Shot Generalization of Synthesized Skills to Realistic Manipulation,02_Papers/05_Sim2Real/Sim2Real-VLA.md,unmatched,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
SimpleVLA-RL: Scaling VLA Training via Reinforcement Learning,02_Papers/01_VLA/SimpleVLA-RL.md,unmatched,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
SpatialVLA: Exploring Spatial Representations for Visual-Language-Action Models,02_Papers/01_VLA/SpatialVLA.md,matched,41,OpenAlex,2026-09-23,https://openalex.org/W4414051092,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
SurgicAI: A Hierarchical Platform for Fine-Grained Surgical Policy Learning and Benchmarking,02_Papers/10_Benchmark_Dataset/SurgicAI.md,matched,4,OpenAlex,2026-09-23,https://openalex.org/W4415796959,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
Survey of Learning-Based Approaches for Robotic In-Hand Manipulation,02_Papers/09_Survey_Review/Survey_of_Learning-Based_Approaches_for_Robotic_In-Hand_Manipulation.md,matched,28,OpenAlex,2026-09-23,https://openalex.org/W4404085362,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
TACO: Benchmarking Generalizable Bimanual Tool-ACtion-Object Understanding,02_Papers/10_Benchmark_Dataset/TACO.md,unmatched,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
TASTE-Rob: Advancing Video Generation of Task-Oriented Hand-Object Interaction for Generalizable Robotic Manipulation,02_Papers/07_Generalization_LongHorizon/TASTE-Rob.md,ambiguous,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
THE COLOSSEUM: A Benchmark for Evaluating Generalization for Robotic Manipulation,02_Papers/10_Benchmark_Dataset/THE_COLOSSEUM.md,unmatched,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
Text-Aware Diffusion for Policy Learning,02_Papers/06_Diffusion_Flow_IL_RL/Text-Aware_Diffusion_for_Policy_Learning.md,matched,1,OpenAlex,2026-09-23,https://openalex.org/W4415797662,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
"Think Small, Act Big: Primitive Prompt Learning for Lifelong Robot Manipulation","02_Papers/07_Generalization_LongHorizon/Think_Small,_Act_Big.md",ambiguous,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
Towards Affordance-Aware Robotic Dexterous Grasping with Human-like Priors,02_Papers/04_Dexterous/Towards_Affordance-Aware_Robotic_Dexterous_Grasping_with_Human-like_Priors.md,matched,2,OpenAlex,2026-09-23,https://openalex.org/W7138302344,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
Towards a Unified Understanding of Robot Manipulation: A Comprehensive Survey,02_Papers/09_Survey_Review/Towards_a_Unified_Understanding_of_Robot_Manipulation_A_Comprehensive_Survey.md,unmatched,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
TraceVLA: Visual Trace Prompting Enhances Spatial-Temporal Awareness for Generalist Robotic Policies,02_Papers/01_VLA/TraceVLA.md,ambiguous,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
TwinVLA: Data-Efficient Bimanual Manipulation with Twin Single-Arm Vision-Language-Action Models,02_Papers/03_Bimanual/TwinVLA.md,matched,0,OpenAlex,2026-09-23,https://openalex.org/W7104816971,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
UniDex: A Robot Foundation Suite for Universal Dexterous Hand Control from Egocentric Human Videos,02_Papers/04_Dexterous/UniDex.md,matched,0,OpenAlex,2026-09-23,https://openalex.org/W7140345735,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
UniDomain: Pretraining a Unified PDDL Domain from Real-World Demonstrations for Generalizable Robot Task Planning,02_Papers/07_Generalization_LongHorizon/UniDomain.md,matched,0,OpenAlex,2026-09-23,https://openalex.org/W7196933803,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
UniGraspTransformer: Simplified Policy Distillation for Scalable Dexterous Robotic Grasping,02_Papers/04_Dexterous/UniGraspTransformer.md,matched,7,OpenAlex,2026-09-23,https://openalex.org/W4413145029,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
VLA-Cache: Efficient Vision-Language-Action Manipulation via Adaptive Token Caching,02_Papers/01_VLA/VLA-Cache.md,matched,9,OpenAlex,2026-09-23,https://openalex.org/W7196930033,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
VTDexManip: A Dataset and Benchmark for Visual-tactile Pretraining and Dexterous Manipulation with Reinforcement Learning,02_Papers/10_Benchmark_Dataset/VTDexManip.md,unmatched,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
VidBot: Learning Generalizable 3D Actions from In-the-Wild 2D Human Videos for Zero-Shot Robotic Manipulation,02_Papers/07_Generalization_LongHorizon/VidBot.md,matched,8,OpenAlex,2026-09-23,https://openalex.org/W4413144616,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
VidMan: Exploiting Implicit Dynamics from Video Diffusion Model for Effective Robot Manipulation,02_Papers/02_Robot_Manipulation/VidMan.md,matched,3,OpenAlex,2026-09-23,https://openalex.org/W7103754590,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
VideoVLA: Video Generators Can Be Generalizable Robot Manipulators,02_Papers/01_VLA/VideoVLA.md,matched,3,OpenAlex,2026-09-23,https://openalex.org/W7196952124,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
VoxAct-B: Voxel-Based Acting and Stabilizing Policy for Bimanual Manipulation,02_Papers/03_Bimanual/VoxAct-B.md,matched,1,OpenAlex,2026-09-23,https://openalex.org/W4400434472,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
What Foundation Models can Bring for Robot Learning in Manipulation: A Survey,02_Papers/09_Survey_Review/What_Foundation_Models_can_Bring_for_Robot_Learning_in_Manipulation_A_Survey.md,matched,6,OpenAlex,2026-09-23,https://openalex.org/W4416422407,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
You Only Teach Once: Learn One-Shot Bimanual Robotic Manipulation from Video Demonstrations,02_Papers/03_Bimanual/YOTO.md,matched,7,OpenAlex,2026-09-23,https://openalex.org/W4414050937,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
